name,company,city,address,latitude,longitude
Allianz assurance rabat centre,ALLIANZ,Rabat,"centre, Salé, Morocco",34.0336969,-6.7708138
Allianz,ALLIANZ,Rabat,"Rez de chaussé, Immeuble 2 et 4, Lotissement ESSAÄDA - Ain Atiq Ain Atiq, Témara, Morocco",33.887048,-6.969851
Allianz,ALLIANZ,Rabat,"X4QG+MCP, Rabat, Morocco",33.9892297,-6.8739652
Allianz Taawid Rabat,ALLIANZ,Rabat,"6 Av. Moulay Ismail, Rabat 10020, Morocco",34.0239442,-6.8302896
SAGESSE ASSURANCES ALLIANZ MAROC SALE TABRIQUET,ALLIANZ,Rabat,"Magasin N° 3, Résidence Niama, Av. Lalla Asmae, Salé, Morocco",34.0412132,-6.8064707
Assurance Zahrassur,ALLIANZ,Rabat,"10 Av. Mohammed V, Témara 12000, Morocco",33.9207479,-6.9160184
Allianz,ALLIANZ,Rabat,"15 Av. Moulay Rachid, Salé, Morocco",34.0190238,-6.7626284
Assurance Allianz,ALLIANZ,Rabat,"X5Q7+46M, Av. Commandant Driss El Harthi, Rabat, Morocco",33.9878446,-6.8369478
Allianz mabella,ALLIANZ,Rabat,"Mabella, Av. Tadla, Rabat, Morocco",33.9954796,-6.8195248
Allianz assurance (salé-karia),ALLIANZ,Rabat,26FR+X78،، شارع مولاي عبد الحفيظ،، سلا،، Morocco,34.0247928,-6.7594313
Assurance Aminas,ALLIANZ,Rabat,"Temara, Morocco",33.9041199,-6.9196264
Bureau direct Salé Karia Allianz Assurance,ALLIANZ,Rabat,"58 Av. Moulay Abdelhafid, Salé, Morocco",34.0231862,-6.7611282
Bureau conseiller en assurance,ALLIANZ,Rabat,"a côté de café Bella Vista, Résidence Diyar 3, Av. Ouali Al Had Sidi Mohamed, Salé 11000, Morocco",34.040929,-6.8167755
Assurance Alyanssur,ALLIANZ,Rabat,"X5MF+FQG, Ave Al Haouz, Rabat, Morocco",33.9836812,-6.8255377
Allianz,ALLIANZ,Rabat,"77, Secteur 9, Ain El Aouda, Morocco",33.808724,-6.786785
Alliance Arabe D'Assurances,ALLIANZ,Rabat,"5, Rue De L'Independance, Imm. Tantaoui, 2°Et., Doukkala-Abda, S, Salé 11000, Morocco",34.033362,-6.7999567
SF Assurances - Crédits,ALLIANZ,Rabat,"Himmi 4, Av Benguerir, Salé 11000, Morocco",34.0323162,-6.8035943
AL JAYI Assurances & Conseil - Rabat,ALLIANZ,Rabat,"21 Groupe Al Boustane Av Al Haouz, Takaddoum, Rabat 10000, Morocco",33.9855774,-6.8219694
SORENA Assurances Agent général d'Allianz,ALLIANZ,Rabat,"14000 Avenue Imam Ali, Kénitra, Morocco",34.2625014,-6.5860999
Résidence Al Boustane,ALLIANZ,Rabat,"25QP+QFW, Av. Atlas Assaghir, Salé, Morocco",34.0394946,-6.8137954
Assurance El Azzouzi,ALLIANZ,Rabat,"26WC+Q54, Salé, Morocco",34.0468761,-6.7795419
Cabinet Lyazidi Conseil,ALLIANZ,Rabat,"2577+Q8Q, Av. Moulay Youssef, Rabat, Morocco",34.0144513,-6.8366505
Allianz,ALLIANZ,Rabat,"N°36, Route Antara, Kénitra, Morocco",34.271088,-6.601817
ASSURANCES BENLAMINE,ALLIANZ,Rabat,"Magasin 3 , Immeuble ALYA, Avenue El Haouz، CITÉ ADMINISTRATIVE، Rabat 10000, Morocco",33.9836523,-6.8263145
Zenith Assurances Courtage Maroc,ALLIANZ,Rabat,"56 Av. de France, Rabat 10000, Morocco",33.997042,-6.8507803
Assurances La Gazelle S.A.R.L.,ALLIANZ,Rabat,"145 Av. Allal Ben Abdellah, Rabat 10000, Morocco",34.0187096,-6.8344134
Assurance Yassur s.a.r.l. (Zurich Assurances Maroc),ALLIANZ,Rabat,"Hay Nahda Rue Bani Hamid n°206 Extention, Rabat, Morocco",33.9740322,-6.8180691
تأمينات أطلنطا سند,AtlantaSanad,Rabat,"967 RUE LEMTOUNA GROUPE AL AHD, Rabat, Morocco",33.9790587,-6.8191332
Assurance Atlanta Abtal,AtlantaSanad,Rabat,"22 Av. Omar Ibn Al Khattab, Rabat, Morocco",34.0029224,-6.8461372
Assurance Atlanta,AtlantaSanad,Rabat,"X4C4+87V, Av. Al Massira, Rabat, Morocco",33.9708659,-6.8943216
Atalanta assurance,AtlantaSanad,Rabat,"26X2+QGV, Salé, Morocco",34.0494837,-6.7987088
ASSURANCES LE VALLON (Atlanta Sanad Assurances),AtlantaSanad,Rabat,"LOT 85 MAGHREB ARABI D HC 4, Kénitra 14000, Morocco",34.2564465,-6.6120248
AtlantaSanad Assurance,AtlantaSanad,Rabat,"7C4F+5RV, Ave des FAR, Kenitra, Morocco",34.2554852,-6.5754536
ASSURANCE ATLANTASANAD - SIHAMASSUR,AtlantaSanad,Rabat,"bureau N° 1, Rés Wael, 129 Avenue Imam Ali, Kénitra, Morocco",34.2603111,-6.5902455
BGD AtlantaSanad Ain Aouda,AtlantaSanad,Rabat,"Q6X4+J6G, Aïn El Aouda, Morocco",33.7990818,-6.7929416
Mounia assurance agent atlantasanad,AtlantaSanad,Rabat,"37 Rue Maamora, Kénitra 14000, Morocco",34.2621068,-6.584627
Roukn Assurances,AtlantaSanad,Rabat,"35, Av Al Amir Fal Ould Oumeir, Appt. 4, Agdal, 10020, Rabat, Rabat 10020, Morocco",34.0027183,-6.8511121
AtlantaSanad Assurance,AtlantaSanad,Rabat,"Avenue Mohamed V, Résidence Oum Alkhair, Bureau N°1, Sidi Yahya du Rharb, Morocco",34.3086482,-6.3039339
AtlantaSanad Assurance,AtlantaSanad,Rabat,"42, hay Essaada, Rommani, Morocco",33.5229186,-6.6023665
Friend's Assurance,AtlantaSanad,Rabat,"Avenue Madagascar magasin, residence souhaila océan, 5 bis Av. Madagascar, Rabat, Morocco",34.0171348,-6.8500584
Assurances Al Khabazate,AtlantaSanad,Rabat,"172 rue la mosquée kenitra (à cote clinique sebou, Kénitra 14001, Morocco",34.2656388,-6.5711291
ATLANTASANAD Assurance BUREAU DIRECT Sidi yahia zaer,AtlantaSanad,Rabat,"Route R403 Acoté La Commune Sidi Yahia Zaer, zaer 12152, Morocco",33.4052462,-6.8519277
PRESTIGE ASSURANCE (PRESTASSUR),AtlantaSanad,Rabat,"Avenue Al Massira, C.Y.M, 1021 Amal 5, Rabat 10000, Morocco",33.9754953,-6.8884897
SERHIR ASSURANCE 'AtlantaSanad',AtlantaSanad,Rabat,"I-3,n:2a,zerhounia ext°4، Meknès 50000, Morocco",33.8970125,-5.5832278
Axa Assurances Oisis,AXA,Rabat,"Rue Bani Jaber 399,Hay Nahda 1 Complémentaire, Rabat, Morocco",33.9788036,-6.8171711
AXA ASSURANCES MAHTAT,AXA,Rabat,"RESIDENCE EL BOUSTANE 6, BOULEVARD D, BLOC 7 , 1ER ETAGE APPT 11 HAY RAHMA SALE ENTRE ROND POINT SUPER ET MOSQUEE، hay rahma, Salé, Morocco",34.0632212,-6.7837894
Assurance Aich,AXA,Rabat,"Groupe G CYM, 13 Av. Al Kifah, Rabat, Morocco",33.9908822,-6.8743249
AXA Services Maroc - Hay Riad,AXA,Rabat,"14 Av. Annakhil, Rabat, Morocco",33.9560292,-6.8675394
AXA Services Maroc - Agence de Recrutement,AXA,Rabat,"Avenue Bin Al Ouidane، Rabat, Morocco",34.0051094,-6.8489937
AXA AL MASSIRA,AXA,Rabat,"12، BLOC 1، Temara 12030, Morocco",33.9193407,-6.8901397
AXA ASSURANCE AIN ATIQ - BUREAU DIRECT,AXA,Rabat,"Rés AL MANZAH AIN ATIQ, N° 78 Av. Hassan II, AIN ATIQ, Morocco",33.8926606,-6.9604833
Megassur AXA Assurance,AXA,Rabat,"Mahaj Riad Magasin C-47 Immeuble N° 13، Rabat 10010, Morocco",33.9613166,-6.8674876
REDINA Assurance AXA,AXA,Rabat,"10 Av. Abderrahim Bouabid, Salé, Morocco",34.0467466,-6.7783082
Axa assurances laaroussi al akhawain,AXA,Rabat,"W36G+PWW, Av. Moulay Hassan I, Témara, Morocco",33.9118744,-6.9226808
AXA assurances la quiétude,AXA,Rabat,"W3F9+P2R, Bd Gaza, Témara, Morocco",33.9243535,-6.9324884
AXA ASSURANCE MAROC BOUKNADEL,AXA,Rabat,"87, secteur 4 lotissement zerdal maroc, Sidi Bouknadel, Morocco",34.1216828,-6.7364028
Axa BD océan Rabat,AXA,Rabat,"25G3+6VX, Av. Abdelkrim El Khattabi, Rabat, Morocco",34.0256084,-6.8452532
AXA assurance sidi Taibi,AXA,Rabat,"58V8+WR6, Sidi Taibi, Morocco",34.1946806,-6.6823529
AXA,AXA,Rabat,"B2, Salé, Morocco",33.9914315,-6.7213687
axa mers el kheir,AXA,Rabat,"lot el kheir n148-150, Mers El Kheir 12025, Morocco",33.8633114,-6.9290804
Axa assurance,AXA,Rabat,"VX4C+VPW Ain Hayat-v, Skhirat, Morocco",33.8572388,-7.0281725
Axa mouniassure d'assurance,AXA,Rabat,"شارع مولاي رشيد و زنقة خرطوم حي العلويين المركز تمارة الرقم البريد 12000، تمارة،، Temara, Morocco",33.9243852,-6.9154617
Axa Assurance,AXA,Rabat,"W4Q2+FV2, Temara, Morocco",33.9386375,-6.8978624
Enssam axa assurance,AXA,Rabat,"3673+W76, Salé, Morocco",34.0647989,-6.7968438
AXA Groupe Opération Maroc,AXA,Rabat,"1, Salé, Morocco",33.9923131,-6.7226311
Assurances Chraïbi Et Cie,AXA,Rabat,"Av. Abou Faris Al Marini, Rabat 10000, Morocco",34.0165467,-6.8328837
ASSURANCE AARAM AXA,AXA,Rabat,"89-91 Av. de la Résistance, Rabat, Morocco",34.0185282,-6.8503561
Assurance Les Deux Rives AXA,AXA,Rabat,"269P+9QH, Av. Moulay Rachid, El Jadida, Morocco",34.0184487,-6.7630009
ASSURANCE RIZQ,AXA,Rabat,"LOT ABOU BAKER NAJJARE TABRIQUET, 25WV+9X8، Avenue Mohamed V، Salé, Morocco",34.0459011,-6.8050577
AXA ASSURANCE TAMESNA,AXA,Rabat,"R3PF+4PJ, Av. Abdellah Ben Yassine, Tamesna, Morocco",33.8353434,-6.9257432
Assurance al akhawayn,AXA,Rabat,"3633+9W3, Av. Mohamed V, Salé, Morocco",34.0533878,-6.7951968
Axa credit Rabat,AXA,Rabat,"21 Av. Oqba Ibn Naafi, Rabat 10000, Morocco",34.0095105,-6.8437746
Secassure,AXA,Rabat,"Rue, Harou, X4VX+VJC, Avenue Moulay Rachid, Rabat 10080, Morocco",33.9946975,-6.8509771
Lynx Assurance,AXA,Rabat,"Immeuble 13, Avenue El Haj Hassan, Rabat 10000, Morocco",34.0099825,-6.8574256
AXA Crédit Temara,AXA,Rabat,"mag5-6, résidence Attawhid, n°22 Av. Hassan II, Témara 12010, Morocco",33.9109645,-6.9324246
ARABIA ASSURANCE,AXA,Rabat,"18 IMM, MAGASIN, 14 Avenue Bin Al Ouidane، Rabat 10000, Morocco",34.0063598,-6.850239
Touzini Assurances,AXA,Rabat,"Avenue Moulay Ismail Magasin N° 2, Rabat 10020, Morocco",34.0218638,-6.828036
Rapide assurance,AXA,Rabat,"Hay al maghreb al arabi, Massira 2, Avenue Tarik ibn ziad, Rond point MILANO, Témara 12030, Morocco",33.9259477,-6.8941297
Assurances Zbirat,AXA,Rabat,"Avenue Lalla Asmae, Rce azzahra app N°3 Tabriquet, Salé, Morocco",34.0402075,-6.806501
Carrefour Assurance Et Conseil,AXA,Rabat,"45 Av. Al Araar, Rabat, Morocco",33.9557037,-6.8760802
ASSURANCES TALBI AGENT GENERAL ATLANTASANAD,AXA,Rabat,"1626,M2, Av. Al Majd, Rabat 10150, Morocco",33.9679988,-6.8911039
