name,company,city,address,latitude,longitude
أليانز المغرب، الدارالبيضاء.,ALLIANZ,"Casablanca, Morocco","166 Bd Mohamed Zerktouni, Casablanca 20060, Morocco",33.5864346,-7.630316499999999
Assurances Porte D'anfa : Allianz Maroc,ALLIANZ,"Casablanca, Morocco","41 Rue Mohamed Sediki, Casablanca 20250, Morocco",33.5931262,-7.634505099999999
Allianz Taawid Auto Siège,ALLIANZ,"Casablanca, Morocco","168 Bd Mohamed Zerktouni, Casablanca 20060, Morocco",33.5862074,-7.630227199999998
Allianz,ALLIANZ,"Casablanca, Morocco","31 Av. des FAR, Fès 20250, Morocco",33.5966579,-7.615322
California Insurance Agency - Allianz Morocco,ALLIANZ,"Casablanca, Morocco","Bd El Qods, Casablanca, Morocco",33.5337605,-7.6122488
Bureau Direct Allianz Bourgogne,ALLIANZ,"Casablanca, Morocco","125 Bd de Bourgogne, Casablanca 20250, Morocco",33.59739449999999,-7.645464199999998
Assurance Beaulieu ALLIANZ,ALLIANZ,"Casablanca, Morocco","81, Boulevard Chefchaouni, à coté du marché vert & place tizi ousli, Casablanca 20250, Morocco",33.6069607,-7.538545699999998
allianz assurance,ALLIANZ,"Casablanca, Morocco","HC43+G5H, Bd Panoramique, Casablanca, Morocco",33.5563012,-7.597000599999999
Assurance attajdid,ALLIANZ,"Casablanca, Morocco","644 boulevard Oued debout, Casablanca 20200, Morocco",33.5512206,-7.6842194
ASSURANCES OULAD HADDOU / AGENT ALLIANZ,ALLIANZ,"Casablanca, Morocco","137 LOTISSEMENT DANDOUNE, SIDI MAAROUF, Casablanca 20000, Morocco",33.5148407,-7.649052600000001
Allianz Taawid Auto Casablanca - Ain Sebaâ,ALLIANZ,"Casablanca, Morocco","Route de Rabat (r.p. 1), Km 9,200, Casablanca 20250, Morocco",33.6034399,-7.5356122
Assurance allianz,ALLIANZ,"Casablanca, Morocco","26 Bd Al Khalil, Casablanca, Morocco",33.54806389999999,-7.6010757
Arenassur Allianz,ALLIANZ,"Casablanca, Morocco","Addamane 12, Av. de Dakhla, Casablanca, Morocco",33.5410371,-7.603702299999997
Asurance allianz,ALLIANZ,"Casablanca, Morocco","382 Av. Reda Guedira, Casablanca, Morocco",33.5540002,-7.5758637
Nextcare Maroc,ALLIANZ,"Casablanca, Morocco","1er étage, 28 Bd Al Massira Al Khadra, Casablanca 20100, Morocco",33.5869837,-7.636206199999998
DLOU ASSURANCES,ALLIANZ,"Casablanca, Morocco","N 4 Bd Oued Draâ, Casablanca, Morocco",33.5567124,-7.6844245
BAB FES ASSURANCES (allianz maroc),ALLIANZ,"Casablanca, Morocco","Ryad sofia Gh4 Imm 1 Rdc, Casablanca, Morocco",33.5226859,-7.679845699999998
Allianz,ALLIANZ,"Casablanca, Morocco","Place Essalam Hay Essalam 2 GH 18. 2 résidence 5 N° 82, Casablanca, Morocco",33.5456752,-7.672936999999999
Allianz Casa Anfa Assurances,ALLIANZ,"Casablanca, Morocco","113 bis Lotissement Habiba، Bd Haj Fateh, Dar-el-Beida 20016, Morocco",33.5486146,-7.684981200000001
Acmar,ALLIANZ,"Casablanca, Morocco","104 Bd Abdellatif Ben Kaddour, Casablanca 20050, Morocco",33.5909124,-7.643880800000001
Assurances Le Chalet,ALLIANZ,"Casablanca, Morocco","392 Bd Ibn Tachfine, Casablanca 20250, Morocco",33.58424580000001,-7.5726035
